model,correct_order_percentage,avg_similar,avg_moderately_similar,avg_not_similar,overall_avg_score
text-embedding-ada-002,100.0,0.8653485637642606,0.7853932287953839,0.6707167672262906,0.7738195199286451
text-embedding-3-small,100.0,0.6759612507658568,0.4509305552585714,0.1300135426627479,0.41896844956239204
text-embedding-3-large,100.0,0.6435959175799983,0.4512175669385804,0.12397827134935022,0.40626391862264305
microsoft/graphcodebert-base,75.0,0.6927902400493622,0.6433974429965019,0.6133218109607697,0.6498364980022112
microsoft/graphcodebert-base,62.5,0.4073152504861355,0.3814963921904564,0.35521388426423073,0.3813418423136075
Salesforce/codet5-base,50.0,0.9997879415750504,0.9997583627700806,0.9997515454888344,0.9997659499446551
Salesforce/codet5-base,50.0,0.9997879415750504,0.9997583627700806,0.9997515454888344,0.9997659499446551
microsoft/codebert-base,37.5,0.9257006570696831,0.9187597334384918,0.9185059443116188,0.9209887782732645
microsoft/codebert-base,12.5,0.6099879443645477,0.6106627136468887,0.616220660507679,0.6122904395063719
